2013-02-14T12:34:40.029716	devin	devin
2013-02-14T13:59:03.797981	devin.local	devin
2013-02-14T14:55:24.087626	devin	devin
2013-02-15T11:28:42.734259	devin	devin
2013-02-15T11:31:09.870497	devin	devin
2013-02-15T11:34:23.119711	devin	devin
2013-02-15T11:43:31.168379	devin	devin
2013-02-15T12:06:17.316553	devin	devin
2013-02-15T17:47:44.573904	devin	devin
2013-02-15T21:24:27.004605	devin	devin
2013-02-18T22:13:37.960732	devin	devin
2013-02-18T22:14:44.089630	devin	devin
2013-02-18T22:15:31.026761	devin	devin
2013-02-19T18:06:47.549689	devin	devin
